,adf_p_target_level,adf_p_predictor_level,coint_p_value,is_cointegrated,adf_p_target_diff,adf_p_predictor_diff,mutual_info,optimal_lag_aic,granger_p_value_optimal_lag,pearson_lag_0,spearman_lag_0,pearson_lag_1,spearman_lag_1,score,rank
SP500,0.0,0.4427865711794054,,False,3.1528540308330485e-20,1.8866993209854817e-10,0.2828922778283447,10,5.276576343249028e-14,0.6503169464224519,0.6217784563582021,-0.6750887270924009,-0.6613185370868163,-0.06621200415628678,1
NASDAQ100,0.0,0.4477063042761411,,False,3.1528540308330485e-20,0.0,0.2283096796180355,10,5.490108773474147e-10,0.61820407416728,0.5899315962496162,-0.636597379576973,-0.6214591430033786,-0.0835244972543076,2
NASDAQCOM,0.0,0.3174984689149445,,False,3.1528540308330485e-20,0.0,0.2077237249106298,10,1.5141286110729855e-10,0.6209351225971345,0.59463214053974,-0.6406754680801738,-0.6297528046162308,-0.08689852876475176,3
DJIA,0.0,0.1931814753987943,,False,3.1528540308330485e-20,0.0,0.2074176479906517,10,4.748900681418227e-11,0.5952956648716361,0.5536224084404744,-0.6167738715298332,-0.580060535879945,-0.09362466308965417,4
DJCA,0.0,0.0706852056454376,,False,3.1528540308330485e-20,0.0,0.2069050636381928,10,8.085343407994582e-11,0.5796454856997728,0.5337879367519967,-0.6040871407470536,-0.5693960951853733,-0.09727564505952584,5
VXEWZCLS,0.0,0.0715855296141433,,False,3.1528540308330485e-20,1.0531293441006326e-15,0.0567980397918095,10,0.0001181306974905,-0.2874122090428678,-0.2538496378912597,0.3321468094062847,0.2568483308791374,-0.18456145962722154,6
NIKKEI225,0.0,0.2696648334968237,,False,1.8085023345634184e-20,0.0,0.0201176548933834,10,7.837956270619194e-08,-0.292762463322737,-0.26136316714996,-0.0469973821556106,-0.0721741883141137,-0.19056393732587867,7
DJUA,0.0,0.0829877164228661,,False,3.1528540308330485e-20,0.0,0.0,10,0.009774226291615,0.2962508320133441,0.2732179915238752,-0.3453869114594781,-0.3040276796702837,-0.19696280816292408,8
BAMLH0A0HYM2SYTW,0.0,0.7355511012143039,,False,3.1528540308330485e-20,3.130929294927388e-09,0.0596477865846978,10,5.331648432689308e-06,-0.1782807733739631,-0.1705566026798284,0.3584886737640343,0.3606616182969315,-0.2031888377370544,9
BAMLH0A1HYBBEY,0.0,0.7320918285625163,,False,3.1528540308330485e-20,2.3130870267197192e-10,0.0393882775941647,10,4.0278137289491e-05,-0.1850537624888987,-0.1829808049541381,0.3517408521880165,0.3386987185863843,-0.20533499899177918,10
BAMLH0A1HYBBSYTW,0.0,0.7722111537997121,,False,3.1528540308330485e-20,3.6876105090300655e-10,0.0245868983163481,10,3.231518739873402e-05,-0.1863636531463061,-0.1810219352917479,0.348810579525975,0.3428507372453598,-0.20835698756788446,11
BAMLHE00EHYITRIV,0.0,0.8490257534670556,,False,3.1528540308330485e-20,2.023982341980525e-08,0.0503406540792941,10,0.0002071307259817,-0.1562642958177511,-0.1519342296728212,-0.1462069887856875,-0.1319766231782329,-0.20919486892547662,12
BAMLHYH0A1BBTRIV,0.0,0.7058701762900175,,False,3.1528540308330485e-20,1.3476186325802868e-09,0.0418447373216439,10,5.56641182260047e-05,0.1606246769299317,0.1561561686577051,-0.3285143605235649,-0.3090713703737316,-0.20997523362419795,13
BAMLHE00EHYIEY,0.0,0.7270021699839184,,False,3.1528540308330485e-20,5.5414987800081125e-09,0.0558596140067253,10,0.0002427555865837,0.1462458983586951,0.1342507455741153,0.1443151933618091,0.1294985085747452,-0.2108755150400074,14
BAMLH0A2HYBSYTW,0.0,0.6989501868557854,,False,3.1528540308330485e-20,1.2237475804206116e-09,0.0277096750660619,10,1.434608430569072e-06,-0.1620601229316394,-0.1726333883419329,0.3588238395409512,0.3686552341538565,-0.21098928770280262,15
BAMLHE00EHYISYTW,0.0,0.6690939964180149,,False,3.1528540308330485e-20,4.47734178744545e-14,0.0419024653531869,10,0.0001788473104134,0.1469119948518831,0.1471392261023696,0.1458157552313952,0.1390068595805633,-0.21228592375810268,16
BAMLHYH0A0HYM2TRIV,0.0,0.7445693931223473,,False,3.1528540308330485e-20,2.1828788407359703e-09,0.0308198288156558,10,9.81115002728166e-06,0.1554645830786801,0.1447350738926522,-0.343375390537411,-0.3226842057028654,-0.2138199929997465,17
BAMLHYH0A2BTRIV,0.0,0.785818165857767,,False,3.1528540308330485e-20,3.4181769363955816e-10,0.025993037430501,10,4.4845919755753755e-06,0.1592336062340601,0.1483835982892031,-0.3556205099572304,-0.3384542302764319,-0.21404146589836368,18
BAMLH0A0HYM2EY,0.0,0.6944905796410413,,False,3.1528540308330485e-20,1.6895143820372683e-09,0.0,10,7.134608206362843e-06,-0.1823746100029734,-0.1764975482280806,0.3605726413833182,0.3590854656146023,-0.21411563802017713,19
BAMLEM4RBLLCRPIUSTRIV,0.0,0.889834170683645,,False,3.1528540308330485e-20,1.3792776628165025e-08,0.0570054378554623,10,1.743585642988164e-05,-0.1309472965635886,-0.1103742379574942,-0.1427882503863398,-0.1332832852518779,-0.21447373331937122,20
BAMLH0A2HYBEY,0.0,0.6385484090453353,,False,3.1528540308330485e-20,9.92748759730422e-10,0.0,10,1.9089477853523853e-06,-0.16460459512381,-0.1690746573691831,0.3600238601307436,0.3628457233421657,-0.21663283832981484,21
BAMLEMEBCRPIEOAS,0.0,0.5893907755556981,,False,3.1528540308330485e-20,5.049461929399046e-12,0.047853996272031,10,0.0001005248796063,0.0971159500879988,0.1392096184553234,0.0920367858765891,0.1133008490908826,-0.21683685384310405,22
BAMLEM4BRRBLCRPITRIV,0.0,0.8171517622857384,,False,3.1528540308330485e-20,7.481118957771827e-20,0.0462843154562548,10,0.0001864836574194,-0.118437806997044,-0.1052119916330822,-0.1176370737648579,-0.1125854998411897,-0.21845275050870422,23
BAMLHE00EHYIOAS,0.0,0.2312017555538661,,False,3.1528540308330485e-20,1.6120463906189804e-14,0.0,10,1.755702236352553e-06,0.1595126590886829,0.1524226638919882,0.1388919507239194,0.1342479964586062,-0.21880716998282745,24
BAMLEMNSNFCRPIOAS,0.0,0.230119424611279,,False,3.1528540308330485e-20,5.582437907382826e-12,0.0358759774849883,10,6.084704190626718e-07,0.1046445116463843,0.1321886444563749,0.0505566292385286,0.0601855063132246,-0.21914173228089404,25
BAMLEMFSFCRPITRIV,0.0,0.8472944208199429,,False,3.1528540308330485e-20,9.060358145165708e-06,0.0527372855221339,10,0.0042372261274431,-0.137214018782923,-0.0828419811123549,-0.0466526434320276,-0.038913440107751,-0.2191418333570227,26
DDFUELNYH,0.0,0.1652516490954099,,False,1.474858958014636e-20,5.670605939757235e-20,0.0129758621385192,10,0.0033574450151457,0.1391716849406798,0.1425244561735553,-0.0525015828879275,-0.0902278833976825,-0.2205781914669309,27
BAMLH0A3HYCSYTW,0.0,0.3989359990694006,,False,3.1528540308330485e-20,2.212070843762908e-09,0.0244119966969669,10,5.360432441943496e-06,-0.130699834734323,-0.1059591011209183,0.2873444850574914,0.2995899778556448,-0.22145385124805927,28
BAMLEMPTPRVICRPIEY,0.0,0.6570523277354267,,False,3.1528540308330485e-20,2.4525913810386473e-09,0.0410591668849522,10,0.0018049940702518,0.1136033145714878,0.0857058518141865,0.0989202295213629,0.0986533189810655,-0.22257924761254283,29
BAMLEMFLFLCRPIUSSYTW,0.0,0.6951304234758637,,False,3.1528540308330485e-20,1.5642294645861031e-06,0.0394603977790204,10,0.0021463407185974,0.124855089591025,0.0780457051019539,0.0723002125291364,0.0716862395388004,-0.22267637726233702,30
BAMLEMPTPRVICRPISYTW,0.0,0.6488988865434384,,False,3.1528540308330485e-20,2.1459395615599588e-14,0.0379352043249241,10,0.0016558692006186,0.1213550984017003,0.0814284091564243,0.0901829611294899,0.0976565107302619,-0.22279695605945013,31
BAMLEM2BRRBBBCRPITRIV,0.0,0.5846044365326989,,False,3.1528540308330485e-20,9.704533312415441e-14,0.0366298467590713,10,1.849645913452915e-05,-0.1202744469546619,-0.0741429289760668,-0.1032463569587348,-0.0912033495123735,-0.22323969163876672,32
BAMLEMPTPRVICRPITRIV,0.0,0.6910570768310778,,False,3.1528540308330485e-20,9.139238059928328e-07,0.0428154459947691,10,0.0001010966479567,-0.1158526586334009,-0.0664225717426469,-0.12250713890704,-0.1105083705738003,-0.2232498264226241,33
BAMLH0A3HYCEY,0.0,0.389934623691695,,False,3.1528540308330485e-20,5.181833009609469e-10,0.0168552137409139,10,3.938757059798605e-06,-0.1308919056380953,-0.102728217615199,0.2821500740322665,0.3029160960540532,-0.22326852042931172,34
BAMLEM4RBLLCRPIUSEY,0.0,0.2735081382463197,,False,3.1528540308330485e-20,4.1039673012894544e-24,0.0334204938076534,10,0.000186361176429,0.1012355327324933,0.0998088123132719,0.1174230818904794,0.1329871667989943,-0.2232860112044644,35
BAMLEMALLCRPIASIAUSTRIV,0.0,0.5991348106073165,,False,3.1528540308330485e-20,9.31096508268118e-07,0.0,10,0.0042707660015059,-0.1735788480629982,-0.1101753021504106,-0.0423875378698618,-0.033947313071979,-0.2233328913792615,36
BAMLEM4RBLLCRPIUSSYTW,0.0,0.3121010930908971,,False,3.1528540308330485e-20,7.383364117699972e-24,0.0174997114814048,10,0.0002261167790941,0.1158890671228205,0.1138811150051516,0.1104782449317504,0.1241521547457542,-0.2236134862025595,37
BAMLEMRACRPIASIATRIV,0.0,0.6481940078042252,,False,3.1528540308330485e-20,2.5919022770406925e-06,0.025201024043636,10,0.0077761916014562,-0.1500539919369583,-0.0892694860614671,-0.0436777595409095,-0.0351612295160884,-0.22413792403201277,38
BAMLEMFLFLCRPIUSEY,0.0,0.697166267136912,,False,3.1528540308330485e-20,8.146486126535336e-07,0.0363029691705496,10,0.003654098161006,0.1190358255119817,0.081140086242137,0.0670863097850291,0.0528877205314782,-0.22418345425488062,39
BAMLEMRACRPIASIAOAS,0.0,0.2075796367270605,,False,3.1528540308330485e-20,0.0,0.0,10,5.5680185758044645e-06,0.1257464171992504,0.1304584102341077,-0.0200450701024161,-0.0103520665217956,-0.2243817444640945,40
BAMLEMUBCRPIUSOAS,0.0,0.0585275314755189,,False,3.1528540308330485e-20,5.1568839980661366e-12,0.0374481923563023,10,9.278440652552806e-08,0.0840465842724856,0.0969230128598311,0.036481224483897,0.0547970850992112,-0.2244134389292705,41
BAMLEMNSNFCRPITRIV,0.0,0.6893461812160342,,False,3.1528540308330485e-20,2.723056875867112e-14,0.0385474063833477,10,0.0001081382446176,-0.1078422034229363,-0.0653515058532017,-0.1284229561565493,-0.1168935118271844,-0.22501440309356371,42
BAMLEMFLFLCRPIUSTRIV,0.0,0.8532594831318707,,False,3.1528540308330485e-20,5.902722761208978e-06,0.0042342605990906,10,0.0001626797765539,-0.1514312775500729,-0.0883911588426072,-0.0690503262342047,-0.0565718216204466,-0.22523597615153543,43
BAMLEMPTPRVICRPIOAS,0.0,0.1980680914950709,,False,3.1528540308330485e-20,4.818713163515583e-12,0.0004673881988122,10,1.4722252962698737e-07,0.1097840628972101,0.1362151509620419,0.0507612283556471,0.0564277533782188,-0.22530665986332418,44
